"Timecode","Content","Content_zh"
"00:13:43,266 --> 00:13:44,166","Stapley: Can you hear me? How is it?","Stapley：你能聽到我嗎？怎樣？"
"00:13:44,166 --> 00:13:46,266","Schafer: Yeah. I can hear you, can you hear me?","Schafer：是的。我能聽見你，你能聽見我嗎？"
"00:13:46,266 --> 00:13:47,266","Stapley: Yeah, I can hear you.","Stapley：是的，我能聽見你。"
"00:13:47,266 --> 00:13:49,853","Schafer: Oh, man. I haven't paid my property taxes.","Schafer：哦，天啊。我還沒交房產稅。"
"00:13:49,860 --> 00:13:51,627","So embarrassing.","太尷尬了。"
"00:13:51,627 --> 00:13:57,300","So one of the main things I want to do is pick what you're going to paint for Lee to mess with in after-effects.","所以我想做的主要事情之一是選擇你要為Lee在After Effects中處理什麼畫。"
"00:13:58,080 --> 00:14:00,347","Stapley: Yeah. Schafer: Remember that? Stapley: Yeah.","Stapley：是的。Schafer：記得那個嗎？Stapley：是的。"
"00:14:00,347 --> 00:14:02,073","So is that how we're going to do it?","所以我們要這樣做嗎？"
"00:14:02,080 --> 00:14:05,046","Like I'm thinking of layers basically.","就像我基本上在想層次。"
"00:14:05,046 --> 00:14:08,841","Petty: The goal is just to get like a type of environment, you know.","Petty：目標只是獲取一種類型的環境，知道的。"
"00:14:08,841 --> 00:14:14,234","Like maybe it looks like something that the player could walk, kind of left or right and have it scroll or into.","比如說，它看起來像是玩家可以向左或向右行走並滾動進入的東西。"
"00:14:14,240 --> 00:14:16,140","Kind of either one we could explore.","這兩者之一我們都可以探索。"
"00:14:16,140 --> 00:14:21,080","Schafer: Right now he's taking, you know, Bagel's work and Bagel's not a very technical person","Schafer：現在他正在處理，知道的，Bagel的工作，而Bagel並不是一個非常技術性的人"
"00:14:21,080 --> 00:14:23,980","so he just paints these awesome paintings.","所以他只是畫這些超棒的畫。"
"00:14:23,980 --> 00:14:27,020","But then making it actually look good in the game is a whole different thing.","但讓它在遊戲中看起來實際上很好是完全不同的事情。"
"00:14:27,020 --> 00:14:34,460","And so we've got Lee working on actually making that a realized game playing world.","所以我們有Lee在實際打造那個實現的遊戲世界。"
"00:14:34,460 --> 00:14:38,327","And it's really fun to see them working together, because they're so different but they're putting together this, I think,","看到他們一起工作真的很有趣，因為他們差異很大，但他們正在組合這個，我認為，"
"00:14:38,327 --> 00:14:41,220","awesome looking visual style.","令人驚嘆的視覺風格。"
"00:14:42,060 --> 00:14:44,760","Schafer: There's a lot of cabins in here.","Schafer：這裡有很多小屋。"
"00:14:44,760 --> 00:14:46,660","Petty: Hey, that'd be a good one, Tim. That cabin.","Petty：嘿，那會是一個不錯的選擇，Tim。那個小屋。"
"00:14:46,660 --> 00:14:51,080","So if you wanted the player walk into the screen there, like it's a little slightly different","所以如果你想讓玩家走進那個屏幕，那會有點不同，"
"00:14:51,080 --> 00:14:54,046","but similar to that whole circus sequence in Monkey one.","但類似於《猴島奇兵》中的整個馬戲團序列。"
"00:14:54,046 --> 00:14:58,440","You just walk into that and they can make a move up to that top shot basically.","你只需走進去，他們基本上就可以移動到那個頂部拍攝點。"
"00:14:58,440 --> 00:15:01,399","Petty: We haven't designed in the actual characters yet for the game.","Petty：我們尚未為遊戲設計實際的角色。"
"00:15:01,399 --> 00:15:04,466","Tim is still writing and coming up with exactly what the world is.","Tim仍在撰寫並確定世界究竟是什麼。"
"00:15:04,466 --> 00:15:10,446","So we just sort of picked a character out of one of Bagel's sketches and put it into the game.","所以我們只是從Bagel的一個草圖中挑選了一個角色並將其放入遊戲中。"
"00:15:10,446 --> 00:15:12,846","And we needed to do, you know, we just needed it to move around.","我們需要做的是，知道的，我們只是需要它移動。"
"00:15:12,846 --> 00:15:15,340","So I just did some really quick animation on it.","所以我只是對它做了些非常快速的動畫。"
"00:15:15,340 --> 00:15:19,500","It's certainly not great animation but just to get it to kind of move around the world.","這當然不是很棒的動畫，但只是讓它在世界上移動。"
"00:15:20,120 --> 00:15:21,300","And follow the camera.","並跟隨攝影機。"
"00:15:21,300 --> 00:15:27,820","And so I think, you know, you kind of get a sense of, is how the camera might follow the player and kind of lag behind the player.","所以我認為，知道的，你大致上了解了攝影機如何跟隨玩家並稍微落後於玩家。"
"00:15:28,440 --> 00:15:30,133","How it might move around the screen.","它可能如何在屏幕周圍移動。"
"00:15:30,133 --> 00:15:37,433","And you'll see that one of the things we're doing here with this character is that as he's in this canopy, he's kind of tinted green and darker.","你會看到我們與這個角色一起做的其中一件事是，當他在這個樹冠中時，他有點被綠色和暗色調染色。"
"00:15:37,433 --> 00:15:40,500","And as he emerges into the sun, here he becomes a little brighter.","當他走出樹冠進入陽光時，他變得稍微亮一些。"
"00:15:40,500 --> 00:15:44,360","And we don't really have, you know, any true lighting that's going to paint it into the painting,","我們其實沒有，知道的，任何真正的燈光會將它繪製到畫中，"
"00:15:44,360 --> 00:15:50,819","but I'm doing some simple things where we're using like color gradients based on location of the world and kind of multiplying it in this character.","但我正在做一些簡單的事情，我們根據世界的位置使用像色彩漸變，並在這個角色上進行乘法。"
"00:15:50,820 --> 00:15:53,253","Just with the goal of getting to feel part of that environment.","只是為了讓它感覺成為那個環境的一部分。"
"00:15:53,260 --> 00:15:58,087","And that's a type of trick that we could do technically in the game image if we wanted to.","如果我們想的話，這是一種我們技術上可以在遊戲圖像中做到的技巧。"
"00:15:58,087 --> 00:15:59,181","And it's really quick to do.","而且這很快就能做到。"
"00:15:59,181 --> 00:16:01,541","But it's enough to help him harmonize with the environment.","但這足以幫助他與環境和諧相處。"
"00:16:09,200 --> 00:16:13,033","Schafer: Please join me in welcoming Mr. Chris Remo to the company.","Schafer：請與我一起歡迎Chris Remo先生加入公司。"
"00:16:13,033 --> 00:16:20,840","[Applause] Schafer: Remo's our community manager.","[掌聲] Schafer：Remo是我們的社區經理。"
"00:16:20,840 --> 00:16:23,300","He's been here now for two weeks or so, ish.","他現在在這裡已經兩週左右了，大約。"
"00:16:23,300 --> 00:16:24,520","Chris, could you please stand up.","Chris，你能請站起來嗎。"
"00:16:24,980 --> 00:16:31,560","[Laughter] Any questions about any of that stuff before we talk about projects?","[笑聲] 在我們討論項目之前，有關那些事情有任何問題嗎？"
"00:16:31,560 --> 00:16:34,960","I'll give you the update on Double Fine Adventures, awesome game.","我會給你們更新一下Double Fine Adventures，這是一款很棒的遊戲。"
"00:16:35,520 --> 00:16:42,060","I'm working on design stuff and we have a team actually working on tools and engine and visual,","我正在從事設計工作，我們有一個團隊實際上在做工具和引擎以及視覺，"
"00:16:42,560 --> 00:16:44,626","pre-visualization of what the art side will look like.","視覺化藝術方面將會是什麼樣子。"
"00:16:44,626 --> 00:16:49,126","And I'm putting together one of my deliverables for the milestone, in a couple weeks.","而且我正在整理我在幾週內為這個里程碑準備的一個交付物。"
"00:16:49,126 --> 00:16:50,306","It's like a story document and stuff.","這像是一個故事文檔之類的。"
"00:16:50,306 --> 00:16:55,500","And at that point I'll be like probably sharing more info about the game with other people company-wide.","到那時，我可能會與公司其他人分享更多有關這款遊戲的信息。"
"00:16:56,000 --> 00:16:59,100","Rice: Well I mean, Tim's been doing brainstorming stuff for a while.","Rice：我的意思是，Tim已經做腦力激盪的工作有一段時間了。"
"00:16:59,240 --> 00:17:04,947","And that's still what he's doing, just kind of holing up in his office and figuring out what the game is.","這仍然是他所做的，只是有點在他的辦公室裡全面思考並弄清楚這個遊戲是什麼。"
"00:17:08,660 --> 00:17:11,425","Schafer: You know, at the very beginning I'm locked in my room a lot writing dialogue.","Schafer：你知道的，最開始時我經常被鎖在我的房間裡寫對話。"
"00:17:11,425 --> 00:17:16,453","But then I kind of have the job of pulling this whole thing down the road.","但之後我有點像是負責推動整個事情向前發展的工作。"
"00:17:16,780 --> 00:17:19,013","You know, so I was ready to finally pitch to the team.","你知道的，所以我準備好最終向團隊推銷。"
"00:17:19,020 --> 00:17:21,819","I'm not really, haven't really felt right to pitch to the whole company yet.","我還沒有真正覺得向整個公司推銷是合適的。"
"00:17:21,819 --> 00:17:24,699","That'll come later but, so I pitched to the whole team.","那會在後面，但是，所以我向整個團隊推銷了。"
"00:17:24,700 --> 00:17:27,380","Schafer: OK. So I'm going to talk about the game today with everybody.","Schafer：好的。所以我今天要和大家談談這款遊戲。"
"00:17:27,380 --> 00:17:31,040","And some people have heard about it and some people have not.","有些人聽說過，有些人沒有。"
"00:17:31,040 --> 00:17:32,640","Did I talk to you about the game?","我有跟你談過這款遊戲嗎？"
"00:17:33,540 --> 00:17:36,240","Some people have not, not just you.","有些人沒有，不只是你。"
"00:17:36,240 --> 00:17:41,333","[Laughter] Petty: There're several people in Wisconsin.","[笑聲] Petty：威斯康星州有幾個人。"
"00:17:41,333 --> 00:17:42,953","Schafer: As you see, I've made a lot of progress.","Schafer：如你所見，我已經取得了很多進展。"
"00:17:42,960 --> 00:17:46,480","I've designed some monster designs. Rice: I like it.","我設計了一些怪物設計。Rice：我喜歡。"
"00:17:47,820 --> 00:17:53,440","Schafer: And then I was going to go and do some detail about some ideas for the beginning of one side of the story.","Schafer：然後我打算去詳細說明故事一側開始的一些想法。"
"00:17:53,440 --> 00:17:58,200","Just 'cause the first example, like a sample game play and then we can all tear it apart","只是因為第一個例子，比如一個遊戲試玩樣本，然後我們都可以拆解它"
"00:17:58,200 --> 00:18:00,520","and talk about how it's never, never, never going to work.","並討論它怎麼可能永遠不會運作。"
"00:18:01,820 --> 00:18:03,920","Schafer: And it's an interesting process where...","Schafer：這是一個有趣的過程，"
"00:18:06,500 --> 00:18:10,680","deciding when to solicit feedback and when to actually sell.","決定何時徵求反饋，何時實際銷售。"
"00:18:10,680 --> 00:18:13,713","It's like sometimes you're selling and sometimes looking for feedback.","這就像有時你在銷售，有時你在尋求反饋。"
"00:18:13,720 --> 00:18:20,960","And the idea... And early on I could sense like in the meeting, 'cause we talked about that as being a feedback session about the pitch and stuff.","而這個想法……早期我能感覺到，在會議中，因為我們談論過這是關於推銷的反饋會議等等。"
"00:18:21,140 --> 00:18:25,007","I realized I didn't want any feedback right then, like any in-depth feedback.","我意識到我當時不想要任何反饋，比如任何深入的反饋。"
"00:18:25,007 --> 00:18:30,926","So I kind of pitched the game and then kind of moved the meeting forward and ended it and because there is an early stage","所以我有點推銷了遊戲，然後有點推進了會議並結束了，因為有一個早期階段"
"00:18:30,926 --> 00:18:34,454","where you don't want any feedback because it doesn't really mean anything.","在那個階段你不想要任何反饋，因為它實際上沒有什麼意義。"
"00:18:34,460 --> 00:18:39,487","Because they don't know still entirely what you're thinking and they might have an image in their head","因為他們還不完全知道你在想什麼，他們的腦海中可能有一個形象"
"00:18:39,487 --> 00:18:42,680","but it probably isn't exactly like what I have in my head.","但這可能並不完全像我腦海中的那樣。"
"00:18:42,680 --> 00:18:47,653","So I almost don't want their opinion of it because they're not talking about the thing I'm talking about.","所以我幾乎不想要他們的意見，因為他們沒有談論我在談論的事情。"
"00:18:47,660 --> 00:18:50,460","They're talking about their own, how they see it.","他們在談論他們自己的，如何看待它。"
"00:18:50,460 --> 00:18:54,180","Offscreen Voice: Can I contribute as a devil's advocate?","螢幕外的聲音：我可以作為魔鬼的代言人提供意見嗎？"
"00:18:55,466 --> 00:18:57,446","Schafer: I like where this is going.","Schafer：我喜歡這個方向。"
"00:18:57,446 --> 00:19:02,466","Remo: To me the strongest parts of this by far are the thematic aspects of the two characters in parallel.","Remo：對我來說，這個最強的部分無疑是兩個角色的主題方面並行發展。"
"00:19:02,466 --> 00:19:06,420","Especially switching between those, I think, could be incredibly important and really, really cool.","尤其是在它們之間切換，我認為，可能是非常重要且非常酷。"
"00:19:06,420 --> 00:19:13,580","Both in terms of game play and aesthetics and the stuff supporting that seems so high-concept to me that it might end up being top-heavy.","無論是遊戲玩法還是美學，以及支持這些的東西對我來說看起來都非常高概念，可能最終會過於重量級。"
"00:19:13,580 --> 00:19:18,740","Like it seems, it just seems like a really complicated thing.","就像它看起來，它只是看起來像一個非常複雜的事情。"
"00:19:19,940 --> 00:19:26,500","Schafer: People at, you know, at that meeting can bring up any sort of problems but it's just too early, you know.","Schafer：你知道的，在那個會議上，人們可以提出任何類型的問題，但現在還太早了，你知道的。"
"00:19:30,120 --> 00:19:32,920","I dare them. Nice try, Chris Remo.","我敢挑戰他們。好嘗試，Chris Remo。"
"00:19:32,920 --> 00:19:34,987","What were we thinking inviting that guy to the meeting?","我們邀請那個人到會議是在想什麼？"
"00:19:34,987 --> 00:19:39,100","Hey, maybe this thing you're doing shouldn't be done. Thanks.","嘿，也許你正在做的這件事不應該做。謝謝。"
"00:19:39,620 --> 00:19:41,140","Remo: That's... I mean...","Remo：那是……我的意思是……"
"00:19:42,140 --> 00:19:46,760","Schafer: I guess because I see it working in my head, it isn't that complicated.","Schafer：我猜是因為我在腦海中看到它在運作，並不那麼複雜。"
"00:19:46,760 --> 00:19:53,466","I see that being like just providing a structure, actually, to how everything has to behave.","我看到這就像是實際上為一切必須如何行為提供一個結構。"
"00:19:53,466 --> 00:19:58,406","Schafer: I do want is like when I say the idea, what other ideas that makes that person think of.","Schafer：我希望的是，當我提出這個想法，這會讓那個人想到哪些其他的想法。"
"00:19:58,406 --> 00:20:00,700","Like you know what would be cool? And how they want to add to it.","比如說，知道什麼會很酷？以及他們如何想要添加到這其中。"
"00:20:00,700 --> 00:20:02,520","Petty: I love hearing new ideas.","Petty：我喜歡聽到新想法。"
"00:20:02,520 --> 00:20:09,620","I like, Tim is a very, a lot of times Tim, the way he describes ideas is like, like the fact he described a box cover for a game","我喜歡，Tim是一個非常……Tim描述想法的方式就是，比如說他為遊戲描述了一個盒子封面這個事實，"
"00:20:09,620 --> 00:20:11,787","that doesn't exist is a very Tim thing to do.","那是不存在的，這是Tim很有Tim特色的做法。"
"00:20:11,787 --> 00:20:16,540","Like he has, he's not an artist per se, like visual artist, but he thinks very visually.","就像他有，他不是一個藝術家，就像視覺藝術家，但他思考得非常有視覺性。"
"00:20:16,540 --> 00:20:20,446","And I think that's helpful for someone like me and it's probably why we work so well together, is, you know,","我認為這對像我這樣的人很有幫助，這可能也是我們為什麼合作得如此順利的原因，知道的，"
"00:20:20,446 --> 00:20:26,980","he's got these ideas and I can sort of, you know, as he's drawing out the birthday cakes and stuff like that","他有這些想法，當他畫出生日蛋糕和類似的東西時，我可以有點，知道的，"
"00:20:26,980 --> 00:20:28,000","I probably shouldn't talk about...","我可能不應該談論……"
"00:20:28,000 --> 00:20:33,380","As he's drawing out some of the ideas on the white board in really simple fashion, I'm immediately starting to think about like,","當他以非常簡單的方式在白板上畫出一些想法時，我立刻開始思考，"
"00:20:33,380 --> 00:20:37,374","well, how's that going to put together in the space and how can we emphasize that or make that work.","嗯，那將如何在空間中組合，我們如何強調這一點或使其運作。"
"00:20:37,380 --> 00:20:39,813","And so that's exciting to hear.","所以這聽起來讓人興奮。"
"00:20:39,820 --> 00:20:42,353","Schafer: Anyway. So you pick which side you're on.","Schafer：總之。所以你選擇你站在哪一邊。"
"00:20:42,360 --> 00:20:46,527","I've only been, I've been working on this one a little bit.","我只是，稍微做了一點這個。"
"00:20:46,527 --> 00:20:51,020","So imagine it would just kind of scroll the boy off the screen.","所以想像一下，它會把男孩滾出屏幕。"
"00:20:51,020 --> 00:20:54,940","And she would be sitting here leaning on this tree on a hillside.","然後她會坐在這裡，靠在山坡上的這棵樹上。"
"00:20:57,280 --> 00:21:01,247","My drawing gets worse and worse the more people are watching.","我的畫越來越糟，人們看得越多。"
"00:21:01,247 --> 00:21:05,587","Kipnis: Are those her legs? Schafer: It could be Lee: She's a tick.","Kipnis：那是她的腿嗎？Schafer：可能是。Lee：她是蜱。"
"00:21:05,587 --> 00:21:08,907","Schafer: Yeah, turns out she's a tick in the end.","Schafer：是的，結果她最後是一只蜱。"
"00:21:09,320 --> 00:21:13,540","Kipnis: They're both human. Schafer: They're human, yeah, yeah, they're human.","Kipnis：他們都是人類。Schafer：他們是人類，是的，是的，他們是人類。"
"00:21:16,000 --> 00:21:23,166","Petty: Yeah, I think the idea's really cool and I think visually, I think there's a lot of interesting stuff that we have,","Petty：是的，我覺得這個想法真的很酷，而且我覺得在視覺上，我們有很多有趣的東西，"
"00:21:23,166 --> 00:21:27,000","I haven't really had a chance to talk to Tim yet, but I think there's a lot of interesting stuff thematically","我還沒有真正機會與Tim談話，但我覺得在主題上有很多有趣的東西"
"00:21:27,000 --> 00:21:28,840","that is appealing to me.","讓我感興趣的。"
"00:21:28,840 --> 00:21:31,940","I mean, there's this sort of almost Tale of Two Cities quality to it.","我的意思是，這有點像《雙城記》的質感。"
"00:21:31,940 --> 00:21:37,306","I can see a lot of good ambiguity in the way that that story is structured.","我能看到那個故事結構方式中有很多好的曖昧性。"
"00:21:37,306 --> 00:21:39,300","I think that's really, will be great.","我覺得那真的會很好。"
"00:21:39,300 --> 00:21:44,200","And to be a way that we, from a design and narrative way move the genre forward a little bit.","並且以我們從設計和敘事的方式稍微推動這個類型向前發展。"
"00:21:44,200 --> 00:21:48,380","Kipnis: I want, I want something new to be brought to the table that wasn't there before.","Kipnis：我想要有一些新的東西被帶到桌面上，這些東西以前沒有。"
"00:21:49,620 --> 00:21:56,200","And I'm not sure what that is quite yet because I still don't have like a very clear idea of what the game's going to be like.","而且我還不確定那是什麼，因為我還沒有非常清晰的想法這款遊戲會怎麼樣。"
"00:21:57,660 --> 00:22:00,494","But hopefully I can contribute to that.","但希望我能為此做出貢獻。"
"00:22:00,500 --> 00:22:06,760","Franzke: Yeah, I know, I'm confident from a technology point of view be able to do what is necessary.","Franzke：是的，我知道，從技術角度來看，我有信心能夠做到必要的事情。"
"00:22:07,567 --> 00:22:09,560","I hope it's going to be good.","我希望它會很好。"
"00:22:09,840 --> 00:22:20,986","[Music] Schafer: All right. Rice: Wait you forgot the big thing.","[音樂] Schafer：好了。Rice：等等，你忘了最重要的事情。"
"00:22:20,986 --> 00:22:22,306","Rice: Bar crawl.","Rice：酒吧巡遊。"
"00:22:22,960 --> 00:22:25,260","Schafer: Who can go to the bar crawl tonight?","Schafer：今晚誰能去酒吧巡遊？"
"00:22:25,260 --> 00:22:28,520","Petty: I can't go tonight. I'm too sick, actually. I have to go home and sleep.","Petty：我今晚不能去。我太不舒服了，實際上。我必須回家睡覺。"
"00:22:28,520 --> 00:22:46,360","[Music] Offscreen Voice: Actually, Tim, can you just say what we're doing again?","[音樂] 螢幕外的聲音：其實，Tim，你能再說一遍我們在做什麼嗎？"
"00:22:47,280 --> 00:22:49,500","Schafer: Where... you don't know where we're going?","Schafer：去哪裡……你不知道我們要去哪裡嗎？"
"00:22:50,480 --> 00:22:52,480","Kipnis: It's for the camera.","Kipnis：這是為了攝影機。"
"00:22:53,740 --> 00:22:57,400","But you know, should I make sound really natural like I'm just happy to be talking about it?","但你知道的，我應該讓聲音聽起來非常自然，就像我很高興在談論它一樣嗎？"
"00:22:57,400 --> 00:23:01,300","Kipnis: Hey Tim, where are we going, by the way? Do you know?","Kipnis：嘿Tim，我們要去哪裡，順便問一下？你知道嗎？"
"00:23:01,300 --> 00:23:02,434","Schafer: What? Kipnis: Where are we going?","Schafer：什麼？Kipnis：我們要去哪裡？"
"00:23:02,440 --> 00:23:04,640","Schafer: I don't know. Where are we going? No.","Schafer：我不知道。我們要去哪裡？不。"
"00:23:04,640 --> 00:23:08,900","Tonight is a very special night because we are going to retrace the history of Double Fine","今晚是個非常特別的夜晚，因為我們將要重溯Double Fine的歷史"
"00:23:08,900 --> 00:23:12,533","through the code names of our projects.","通過我們項目的代號。"
"00:23:12,840 --> 00:23:14,800","Shall we do that again?","我們再做一次嗎？"
"00:23:17,340 --> 00:23:19,440","Projects.","項目。"
"00:23:19,740 --> 00:23:25,000","The history of our company as told by the code names of our projects, which are mostly taken from Chinatown dive bars.","通過我們項目的代號來講述我們公司的歷史，這些代號大多取自唐人街的潛水吧。"
"00:23:25,333 --> 00:23:27,753","Offscreen Voice: Why don't you tell us about what happened last night?","螢幕外的聲音：你們為什麼不告訴我們昨晚發生了什麼？"
"00:23:28,380 --> 00:23:30,620","Schafer: You mean between me and, oh, oh.","Schafer：你是說我和……，哦，哦。"
"00:23:30,860 --> 00:23:32,180","Last night.","昨晚。"
"00:23:32,180 --> 00:23:35,313","So we went on a quest last night to find a code name for the project.","所以我們昨晚去尋找項目的代號。"
"00:23:35,666 --> 00:23:38,434","It's fun. I mean we used to, like in the very beginning of the company,","這很好玩。我的意思是，我們以前，像是在公司剛開始的時候，"
"00:23:38,440 --> 00:23:43,146","when we only like, the whole company was like twelve people, we'd go out a lot together.","當時公司只有大約十二個人，我們經常一起出去。"
"00:23:43,146 --> 00:23:47,026","And go bar crawling together and we hadn't done that a lot lately.","一起去酒吧巡遊，最近我們不常這樣做。"
"00:23:47,026 --> 00:23:49,387","But it was fun to get back out there again with the team.","但能再次和團隊一起出去很有趣。"
"00:23:49,387 --> 00:23:53,867","Kipnis: I think you're, you're greatly overestimating my alcohol tolerance.","Kipnis：我覺得你，你大大高估了我的酒量。"
"00:23:53,867 --> 00:23:55,420","Schafer: All I heard is you are great.","Schafer：我只聽到你很棒。"
"00:23:55,420 --> 00:23:59,060","[Laughter] Schafer: It was like a team kickoff event.","[笑聲] Schafer：那就像是一個團隊啟動活動。"
"00:23:59,060 --> 00:24:07,593","[Music] Schafer: Lipo was the very first code name of our very first project.","[音樂] Schafer：Lipo是我們第一個項目的第一個代號。"
"00:24:07,600 --> 00:24:09,967","This is the code name for Psychonauts.","這是《Psychonauts》的代號。"
"00:24:10,080 --> 00:24:12,220","Rice: Never heard of it. What's that? Schafer: Let's go.","Rice：沒聽說過。那是什麼？Schafer：我們走吧。"
"00:24:12,700 --> 00:24:15,633","Schafer: Buddha is the code name for Brutal Legend.","Schafer：Buddha是《Brutal Legend》的代號。"
"00:24:15,640 --> 00:24:18,507","Hi, I'm Tim. Nice to meet you. What's your name?","嗨，我是Tim。很高興見到你。你叫什麼名字？"
"00:24:18,507 --> 00:24:21,587","Man: Peace again. Schafer: That's a weird name.","男子：再次和平。Schafer：那是一個奇怪的名字。"
"00:24:24,820 --> 00:24:27,660","Schafer: EZ5 is the code name for Happy Action Theater.","Schafer：EZ5是《Happy Action Theater》的代號。"
"00:24:30,200 --> 00:24:32,933","Grasslands was our code name for Psychonauts II.","Grasslands是我們《Psychonauts II》的代號。"
"00:24:32,940 --> 00:24:36,140","Who knows if that'll happen. If that happens, we call it Grasslands.","誰知道那是否會發生。如果發生了，我們稱它為Grasslands。"
"00:24:36,140 --> 00:24:39,807","Bow Bow was the code name for Brutal Legend II, we started on that.","Bow Bow是《Brutal Legend II》的代號，我們開始了那個項目。"
"00:24:39,807 --> 00:24:57,094","[Singing] Schafer: There's some documents called Bow Bow.","[唱歌] Schafer：有一些叫做Bow Bow的文件。"
"00:24:57,233 --> 00:24:58,973","Vesuvio was Once Upon a Monster.","Vesuvio是《Once Upon a Monster》。"
"00:24:58,980 --> 00:25:04,573","Empress is short for Empress of China and Empress was the sequel to Once Upon a Monster or Twice Upon a Monster,","Empress是《Empress of China》的簡稱，Empress是《Once Upon a Monster》或《Twice Upon a Monster》的續集，"
"00:25:04,580 --> 00:25:07,613","it probably would have been called but that got cancelled.","它可能會被稱為，但那被取消了。"
"00:25:07,620 --> 00:25:13,987","But you still go there. It's important to go there and remember, pour out a drink for the cancelled projects.","但你還是會去那裡。去那裡並記住，為被取消的項目倒一杯飲料，這很重要。"
"00:25:13,987 --> 00:25:40,500","[Clinking glasses] Schafer: And last night we found what might be the last bar in Chinatown","[碰杯聲] Schafer：昨晚我們找到了一家可能是唐人街最後一家酒吧"
"00:25:40,500 --> 00:25:43,600","that we haven't named anything after and that's Red's.","我們還沒有以任何東西命名的，那就是Red's。"
"00:25:56,220 --> 00:25:59,486","Schafer: Hey, here's to the Red's team. Red's.","Schafer：嘿，為Red's團隊乾杯。Red's。"
"00:25:59,486 --> 00:26:02,286","That doesn't sound bad at all. Red's.","那聽起來一點也不壞。Red's。"
"00:26:04,540 --> 00:26:07,800","Schafer: Code name Red's.","Schafer：代號Red's。"
"00:26:09,733 --> 00:26:12,233","[Music]","[音樂]"
