"Timecode","Content","Content_zh"
"00:13:03,442 --> 00:13:05,355","Schafer: Yeah! I got to make a game.","Schafer: 是的！我可以做一款遊戲了。"
"00:13:05,355 --> 00:13:10,448","Newscaster: Over the last few days, Tim Schafer from Double Fine took crowd funding site, Kickstarter to fund his next game.","主播：在過去的幾天裡，來自Double Fine的蒂姆·斯切弗利用眾籌網站Kickstarter為他的下一款遊戲籌集資金。"
"00:13:10,448 --> 00:13:12,638","Schafer: It feels like a happening. You know what I mean?","Schafer: 感覺就像一件大事。你懂我的意思嗎？"
"00:13:12,638 --> 00:13:14,241","Like it feels like an event.","就像一個事件。"
"00:13:14,241 --> 00:13:16,401","Newscaster: They're raising money at a clip of a thousand dollars per minute.","主播：他們正在以每分鐘一千美元的速度籌集資金。"
"00:13:16,401 --> 00:13:17,697","It's incredible.","這太不可思議了。"
"00:13:17,697 --> 00:13:19,270","Host: One question that is on everybody's mind.","主持人：有一個問題大家都很關心。"
"00:13:19,270 --> 00:13:20,660","You get the million dollars.","你們得到了一百萬美元。"
"00:13:20,660 --> 00:13:22,541","Did you immediately withdraw it all?","你們立即全部提款了嗎？"
"00:13:22,541 --> 00:13:26,055","Put it into a vault and then dive into it like Scrooge McDuck style?","把它存進金庫，然後像鴨嘴獸一樣潛水？"
"00:13:26,055 --> 00:13:29,602","Schafer: Then during Kickstarter, it made it, I don't know what it was,","Schafer: 然後在Kickstarter期間，它實現了，我不知道那是什麼，"
"00:13:29,602 --> 00:13:34,805","but it made everyone just take that big basket of money and shake it out over our heads.","但它讓每個人都拿著那大籃子的錢，搖在我們頭上。"
"00:13:34,805 --> 00:13:38,100","It really was like the end of ""It's a Wonderful Life"".","真的是像《美好人生》的結局一樣。"
"00:13:38,360 --> 00:14:00,320","[Music] Offscreen: So excited.","[音樂] 螢幕外：太興奮了。"
"00:14:02,820 --> 00:14:04,080","Offscreen: Thumbs up?","螢幕外：豎起大拇指？"
"00:14:04,347 --> 00:14:07,335","Man: Thumbs up, yes.","男子：豎起大拇指，對。"
"00:14:08,240 --> 00:14:09,640","That was pretty amazing.","那真是令人驚嘆。"
"00:14:11,660 --> 00:14:15,340","I told you, adventure games are not dead!","我告訴過你們，冒險遊戲並未消亡！"
"00:14:15,740 --> 00:14:19,512","The thing that I noticed was that it was just such a morale boost to the whole team.","我注意到的是，這對整個團隊來說是一個巨大的士氣提升。"
"00:14:19,512 --> 00:14:25,123","And you know, I think it just felt like a lot of goodwill and love coming towards the company and everyone got super excited about it.","而且你知道，我覺得這感覺像是很多善意和愛意湧向公司，大家都對此感到非常興奮。"
"00:14:25,123 --> 00:14:29,071","And because it was like this feeling of like, we knew those people were there, we knew they were.","而且因為有這種感覺，我們知道那些人就在那裡，我們知道他們在。"
"00:14:29,071 --> 00:14:31,199","But, because sometimes they don't show up when you make a game.","但因為有時候當你製作遊戲時他們不會出現。"
"00:14:31,199 --> 00:14:34,768","You know, you make a game, you release it, you know, like I thought it was going to sell a lot and it didn't.","你知道的，你做了一個遊戲，發布了它，你知道的，就像我以為它會賣得很旺，但卻沒賣好。"
"00:14:34,768 --> 00:14:39,025","You're like, where are all those people that it feels like, there's all this goodwill out there.","你會想，那些人都在哪裡，感覺外面有這麼多善意。"
"00:14:39,025 --> 00:14:40,352","Man #1: It's two million.","男子 #1：已經兩百萬了。"
"00:14:40,352 --> 00:14:43,189","Man #2: One of us has to stop shaving.","男子 #2：我們中得有一個人必須停止刮鬍子。"
"00:14:43,189 --> 00:14:47,622","Man #2: He has to shave my scrotum if it gets to two million.","男子 #2：如果達到兩百萬，他必須刮我的睾丸。"
"00:14:48,740 --> 00:14:50,840","Man #1: Only if he agrees to do it on camera.","男子 #1：只有如果他同意在鏡頭前做這件事。"
"00:14:51,418 --> 00:14:54,193","Offscreen: Congratulations.","螢幕外：恭喜。"
"00:14:54,193 --> 00:14:57,586","Schafer: It had been a long time since we had experience where it felt like we were the winners.","Schafer: 已經很久沒有這樣的經驗，感覺自己像是贏家。"
"00:14:57,586 --> 00:15:03,959","We were at DICE and I was walking through DICE, feeling like a winner, which is really kind of like,","我們在DICE，我走過DICE，感覺像是贏家，這其實有點像，"
"00:15:03,959 --> 00:15:11,539","not that I feel like a loser, but usually feel like the alternative, alternative to money.","不是我感覺自己像個輸家，但通常感覺像是金錢的替代品。"
"00:15:19,140 --> 00:15:23,377","I mean i'm proud of all our games and I wouldn't switch them with anyone else's games,","我的意思是，我為我們所有的遊戲感到自豪，我不會用別人的遊戲來替換它們，"
"00:15:23,377 --> 00:15:27,233","but usually walking in a convention like that, you're talking to the, you know, the people who made Uncharted","但通常在那樣的展會上，你會和那些，你知道，製作《神秘海域》的開發者談話"
"00:15:27,233 --> 00:15:29,146","and they're, they're really nice and you're like, ah.","而且他們真的很友善，你會想，啊。"
"00:15:29,146 --> 00:15:30,780","Congratulations on the game.","恭喜你們的遊戲。"
"00:15:30,780 --> 00:15:32,323","Did really well for you.","做得真好。"
"00:15:32,323 --> 00:15:38,767","And like, you don't often feel like, you feel like they're like the family member who's like still living at home.","而且，你不常有這種感覺，你會覺得他們像是還住在家的家人。"
"00:15:38,767 --> 00:15:40,217","You know, like yeah.","你知道的，像是對。"
"00:15:40,217 --> 00:15:44,838","They're all really nice to us, but you know, we haven't, it's different when you make a bunch of money.","他們對我們都很好，但你知道的，當你賺到一大筆錢時，情況就不同了。"
"00:15:44,838 --> 00:15:47,922","Schafer: And we raised 1.7 million dollars on Kickstarter.","Schafer: 我們在Kickstarter上籌集了170萬美元。"
"00:15:47,922 --> 00:15:52,980","[Applause] Schafer: Is that auto refreshing?","[掌聲] Schafer: 這是自動刷新的嗎？"
"00:15:52,980 --> 00:15:53,480","Everyone: Yes.","大家：是的。"
"00:15:53,520 --> 00:15:56,572","Schafer: We were in the hotel room and I was listening on the Skype, on the iPad","Schafer: 我們在酒店房間，我在用Skype和iPad聽，"
"00:15:56,572 --> 00:16:02,611","and you just remember like, click, click, aha, aha, then all of a sudden, whooo!","你會記得就像，點擊，點擊，啊哈，啊哈，然後突然間，呼！"
"00:16:02,920 --> 00:16:04,980","Schafer: Distortion sound as everyone lost their shit.","Schafer: 當每個人都瘋狂時的失真聲音。"
"00:16:05,440 --> 00:16:07,920","And right now we're at almost 2.5 million dollars.","現在我們已經差不多有250萬美元了。"
"00:16:07,999 --> 00:16:10,066","and we have six more days to go.","還有六天。"
"00:16:10,066 --> 00:16:13,243","Rice, Offscreen: Everything moved really quickly and I actually didn't really have a chance","Rice, 螢幕外：一切都進展得非常快，我其實沒有真正有機會"
"00:16:13,243 --> 00:16:17,066","to like let everything sit in until yesterday, when it finished.","讓一切暫時停留，直到昨天項目完成。"
"00:16:17,066 --> 00:16:21,073","And I was like, finally it like hit me and it was like, holy crap.","我當時像是，終於明白了，那就像，天哪。"
"00:16:21,073 --> 00:16:24,615","We did something really crazy here.","我們在這裡做了非常瘋狂的事情。"
"00:16:25,720 --> 00:16:26,380","Schafer: 2 minutes!","Schafer: 兩分鐘！"
"00:16:27,010 --> 00:16:35,080","[Crowd shouting and cheering] So like we cleared in advance","[群眾喊叫和歡呼] 所以我們提前清除了"
"00:16:35,080 --> 00:16:38,400","I'm going to shake this up and I'm going to spray it all over your head.","我將搖動這個，並將它噴滿你們的頭。"
"00:16:40,594 --> 00:16:41,554","Why is that...","那為什麼……"
"00:16:42,000 --> 00:16:42,940","Ron!","羅恩！"
"00:16:43,329 --> 00:16:45,309","My God, that's terrible for your teeth.","我的天啊，那對你的牙齒太糟糕了。"
"00:16:45,309 --> 00:16:46,020","Offscreen: Two minutes!","螢幕外：兩分鐘！"
"00:16:46,240 --> 00:16:47,280","Two minutes.","兩分鐘。"
"00:16:47,420 --> 00:16:54,960","[Pop] Offscreen: Premature! Premature!","[噗] 螢幕外：過早！過早！"
"00:16:55,440 --> 00:17:01,272","Gilbert: There's still a part of my skeptical pessimistic brain that says, well, you can never do this again.","Gilbert: 我的懷疑悲觀的大腦中還有一部分在說，好吧，你永遠無法再做這個了。"
"00:17:01,272 --> 00:17:06,079","That this was really kind of this one time perfect storm thing.","這真的有點像一次性的完美風暴事情。"
"00:17:06,079 --> 00:17:10,114","But I don't know. I mean, maybe not.","但我不知道。我的意思是，也許不會。"
"00:17:10,319 --> 00:17:31,520","[Music] [Cheering] I've been so happy about that ever since Kickstarter started,","[音樂] [歡呼] 自從Kickstarter開始以來，我一直為此感到非常高興，"
"00:17:31,520 --> 00:17:35,515","just thinking about how, I still have to answer to people.","只是想到，我仍然必須對人們負責。"
"00:17:35,515 --> 00:17:37,672","Like people funded the game, you know.","就像人們為這款遊戲提供資金，你知道的。"
"00:17:37,672 --> 00:17:39,646","But they're exactly the people I want to answer to.","但他們正是我想要對答不諱的人。"
"00:17:39,646 --> 00:17:41,827","Those are the people I'm making dots for, right?","這些人是我為之努力的人，對嗎？"
"00:17:41,827 --> 00:17:50,544","And all those things like, and so it's like, it's just this really liberating,","而所有這些事情，就像，是一件真正解放的事情，"
"00:17:50,544 --> 00:17:54,615","freeing thing to just think that I'm just going to have to worry about how good the game is, almost nothing else.","讓我只需擔心遊戲有多好，幾乎不需要擔心其他事情。"
"00:17:54,820 --> 00:18:05,240","[Music] Schafer: I love you guys!","[音樂] Schafer: 我愛你們！"
"00:18:05,240 --> 00:18:08,599","It has been an amazing experience. So much love.","這是一個令人驚嘆的經歷。如此多的愛。"
"00:18:08,599 --> 00:18:13,747","We know there's not, it's not all about us and Double Fine, but about you, the fans and what you guys want to say","我們知道，這不全是關於我們和Double Fine，而是關於你們，粉絲們，和你們想說的話"
"00:18:13,747 --> 00:18:15,939","and do with your money and choose to do.","以及你們用錢想做什麼和選擇做什麼。"
"00:18:15,939 --> 00:18:18,375","And make things happen for yourself.","並為自己實現事情。"
"00:18:18,375 --> 00:18:22,785","I mean, I don't want to make a huge speech here, because I'll be all choked up.","我的意思是，我不想在這裡做一個長篇演講，因為我會噎到。"
"00:18:22,785 --> 00:18:24,779","Gilbert: Too late.","Gilbert: 太晚了。"
"00:18:24,779 --> 00:18:29,837","Schafer: But I just, I don't want to say this is the end of the, you know, the whole game industry as we know it.","Schafer: 但我只是，我不想說這是我們所知道的整個遊戲產業的終結。"
"00:18:29,837 --> 00:18:32,857","It's not, it's not.","不是，不是。"
"00:18:32,857 --> 00:18:37,824","And it's not, again it's not like we're total replacement of all publishers and publishing games.","而且，再說一次，我們並不是所有發行商和發行遊戲的完全替代。"
"00:18:37,824 --> 00:18:41,803","There's still going to be, there still might be a few games made by publishers after today.","之後仍然會有，發行商可能會製作一些遊戲。"
"00:18:41,803 --> 00:18:43,746","Just a couple games.","就幾款遊戲。"
"00:18:43,746 --> 00:18:48,988","But it does mean if you've ever been told that your part of a niche market, if you've ever like, if you've ever like,","但這意味著如果你曾被告知你屬於一個利基市場，如果你曾經，像是，"
"00:18:48,988 --> 00:18:52,658","when you're a kid and you had your favorite TV show cancelled or you hear about your favorite band","當你還是孩子時，你最喜歡的電視節目被取消，或你聽說你最喜歡的樂隊"
"00:18:52,658 --> 00:18:56,576","being dropped by their label for not selling enough and you've just been like why does a big company get to choose","被他們的唱片公司因為銷量不夠而拋棄，然後你只是覺得為什麼大公司可以選擇"
"00:18:56,576 --> 00:19:00,924","what music I listen to or what movies I watch or what TV shows I watch or what game I get to play,","我聽什麼音樂或看什麼電影，或我看什麼電視節目，或我玩什麼遊戲，"
"00:19:00,924 --> 00:19:04,377","now you know that they can't do that anymore.","現在你知道他們無法再這樣做了。"
"00:19:04,377 --> 00:19:06,784","You can choose. So thanks everybody.","你可以選擇。所以謝謝大家。"
"00:19:06,784 --> 00:19:12,940","[Cheering] Thank you to the team!","[歡呼] 謝謝團隊！"
"00:19:13,060 --> 00:19:14,260","Everybody!","大家！"
"00:19:16,460 --> 00:19:21,335","Thanks to my parents for backing the project and everybody else's parents who backed the project.","感謝我的父母支持這個項目以及所有支持這個項目的其他人的父母。"
"00:19:21,335 --> 00:19:24,939","Does anybody else want to thank anybody?","還有誰想要感謝誰嗎？"
"00:19:25,080 --> 00:19:26,120","Kipnis: Thank you Tim!","Kipnis: 謝謝你，蒂姆！"
"00:19:26,260 --> 00:19:27,220","Thank you!","謝謝！"
"00:19:27,502 --> 00:19:30,984","Thanks everyone and now we dance.","感謝大家，現在我們來跳舞。"
"00:19:31,360 --> 00:19:37,320","[Cheering] Ron's dancing!","[歡呼] 羅恩在跳舞！"
"00:19:41,479 --> 00:20:15,879","[Music]","[音樂]"
